tta_0,d_0,a_values,is_gap_accepted,RT_merge,RT_wait,subj_id
5.5,70.0,"(0.0, 4, -4, 0.0)",0.45025437444971667,0.9309580690292987,1.6808319525567308,all
5.5,70.0,"(0.0, -4, 4, 0.0)",0.45025437444971667,0.9309580690292987,1.6808319525567308,all
5.5,70.0,"(0.0, -4, -4, 0.0)",0.45025437444971667,0.9309580690292987,1.6808319525567308,all
5.5,80.0,"(0.0, 0.0, 0.0, 0.0)",0.49019617332111126,0.9279827201814933,1.7280547087226037,all
5.5,80.0,"(0.0, 4, 4, 0.0)",0.49019617332111126,0.9279827201814933,1.7280547087226037,all
5.5,80.0,"(0.0, 4, -4, 0.0)",0.49019617332111126,0.9279827201814933,1.7280547087226037,all
5.5,80.0,"(0.0, -4, 4, 0.0)",0.49019617332111126,0.9279827201814933,1.7280547087226037,all
5.5,80.0,"(0.0, -4, -4, 0.0)",0.49019617332111126,0.9279827201814933,1.7280547087226037,all
5.5,90.0,"(0.0, 0.0, 0.0, 0.0)",0.5301002420828458,0.9233213320637732,1.7743893224898373,all
5.5,90.0,"(0.0, 4, 4, 0.0)",0.5301002420828458,0.9233213320637732,1.7743893224898373,all
5.5,90.0,"(0.0, 4, -4, 0.0)",0.5301002420828458,0.9233213320637732,1.7743893224898373,all
5.5,90.0,"(0.0, -4, 4, 0.0)",0.5301002420828458,0.9233213320637732,1.7743893224898373,all
5.5,90.0,"(0.0, -4, -4, 0.0)",0.5301002420828458,0.9233213320637732,1.7743893224898373,all
5.75,70.0,"(0.0, 0.0, 0.0, 0.0)",0.512567515764923,0.9518252338303413,1.802652843390558,all
5.75,70.0,"(0.0, 4, 4, 0.0)",0.512567515764923,0.9518252338303413,1.802652843390558,all
5.75,70.0,"(0.0, 4, -4, 0.0)",0.512567515764923,0.9518252338303413,1.802652843390558,all
5.75,70.0,"(0.0, -4, 4, 0.0)",0.512567515764923,0.9518252338303413,1.802652843390558,all
5.75,70.0,"(0.0, -4, -4, 0.0)",0.512567515764923,0.9518252338303413,1.802652843390558,all
5.75,80.0,"(0.0, 0.0, 0.0, 0.0)",0.5531135101935476,0.9460413045181647,1.8503791717628875,all
5.75,80.0,"(0.0, 4, 4, 0.0)",0.5531135101935476,0.9460413045181647,1.8503791717628875,all
5.75,80.0,"(0.0, 4, -4, 0.0)",0.5531135101935476,0.9460413045181647,1.8503791717628875,all
5.75,80.0,"(0.0, -4, 4, 0.0)",0.5531135101935476,0.9460413045181647,1.8503791717628875,all
5.75,80.0,"(0.0, -4, -4, 0.0)",0.5531135101935476,0.9460413045181647,1.8503791717628875,all
5.75,90.0,"(0.0, 0.0, 0.0, 0.0)",0.5928375798840444,0.9384323634185512,1.8968378223967495,all
5.75,90.0,"(0.0, 4, 4, 0.0)",0.5928375798840444,0.9384323634185512,1.8968378223967495,all
5.75,90.0,"(0.0, 4, -4, 0.0)",0.5928375798840444,0.9384323634185512,1.8968378223967495,all
5.75,90.0,"(0.0, -4, 4, 0.0)",0.5928375798840444,0.9384323634185512,1.8968378223967495,all
5.75,90.0,"(0.0, -4, -4, 0.0)",0.5928375798840444,0.9384323634185512,1.8968378223967495,all
6.0,70.0,"(0.0, 0.0, 0.0, 0.0)",0.5774120600341582,0.964981442626976,1.9161443863922143,all
6.0,70.0,"(0.0, 4, 4, 0.0)",0.5774120600341582,0.964981442626976,1.9161443863922143,all
6.0,70.0,"(0.0, 4, -4, 0.0)",0.5774120600341582,0.964981442626976,1.9161443863922143,all
6.0,70.0,"(0.0, -4, 4, 0.0)",0.5774120600341582,0.964981442626976,1.9161443863922143,all
6.0,70.0,"(0.0, -4, -4, 0.0)",0.5774120600341582,0.964981442626976,1.9161443863922143,all
6.0,80.0,"(0.0, 0.0, 0.0, 0.0)",0.6171887279275713,0.9560023059625984,1.9630125459098207,all
6.0,80.0,"(0.0, 4, 4, 0.0)",0.6171887279275713,0.9560023059625984,1.9630125459098207,all
6.0,80.0,"(0.0, 4, -4, 0.0)",0.6171887279275713,0.9560023059625984,1.9630125459098207,all
6.0,80.0,"(0.0, -4, 4, 0.0)",0.6171887279275713,0.9560023059625984,1.9630125459098207,all
6.0,80.0,"(0.0, -4, -4, 0.0)",0.6171887279275713,0.9560023059625984,1.9630125459098207,all
6.0,90.0,"(0.0, 0.0, 0.0, 0.0)",0.6553064841684912,0.9451051867868973,2.0081535164590396,all
6.0,90.0,"(0.0, 4, 4, 0.0)",0.6553064841684912,0.9451051867868973,2.0081535164590396,all
6.0,90.0,"(0.0, 4, -4, 0.0)",0.6553064841684912,0.9451051867868973,2.0081535164590396,all
6.0,90.0,"(0.0, -4, 4, 0.0)",0.6553064841684912,0.9451051867868973,2.0081535164590396,all
6.0,90.0,"(0.0, -4, -4, 0.0)",0.6553064841684912,0.9451051867868973,2.0081535164590396,all
