tta_0,d_0,a_values,a_duration,is_go_decision,RT_go,RT_stay,subj_id
4.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.3265400559737636,0.48959002158689524,1.483646353446608,all
4.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.3174116856556235,0.46991789959368274,1.4005380136218994,all
4.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.31760508100432006,0.47087683394496743,1.4090014543541425,all
4.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.3462686921864352,0.5344038311441627,1.6201682891366238,all
4.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.35946001981781994,0.5801806665380135,1.675917933059447,all
5.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.4645801905001418,0.5400175992575228,1.7722719376074967,all
5.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.4399215017600979,0.4965504221411454,1.593036723719347,all
5.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.44085080316751907,0.500076632070285,1.6211658906444937,all
5.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.5346375551269164,0.65231387566341,2.0594203020919246,all
5.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.7001332671590945,1.0937176031894231,1.6340511474993737,all
