tta_0,d_0,a_values,a_duration,is_go_decision,RT_go,RT_stay,subj_id
4.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.27951327494460876,0.677874418886975,1.434197204477861,all
4.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.2445200758756005,0.6287313639054557,1.3233899553413837,all
4.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.2451839996375862,0.6315747158027769,1.336867676911567,all
4.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.34618500603043845,0.7580977019393872,1.5838926279620953,all
4.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.3664681744830721,0.8256313260568865,1.7080368485415978,all
5.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.49026004972672965,0.7329977219847514,1.7764525332793868,all
5.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.41146748665715766,0.6558339891161554,1.5579696070350801,all
5.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.4148418840123761,0.6650921742873073,1.6037620373353254,all
5.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.6434519843646298,0.8333306985994945,2.0118024357048836,all
5.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.8001350082746677,1.1308192837732598,1.8143382184769137,all
