participant_id	d_condition	tau_condition	a_condition	is_test_trial	decision	RT	collision	pet
6240	60	100.0	[0.0, 0.0, 0.0, 0.0]	False	None	-1.000	False	nan
6240	60	100.0	[0.0, 0.0, 0.0, 0.0]	False	go	4.267	False	nan
6240	30	4.5	[0.0, 0.0, 0.0, 0.0]	False	go	2.317	True	nan
6240	30	4.5	[0.0, 3.0, 0.0, 0.0]	False	stay	1.767	False	nan
6240	30	4.5	[0.0, 3.0, 3.0, 0.0]	False	stay	1.833	False	nan
6240	30	4.5	[0.0, 3.0, -3.0, 0.0]	False	stay	1.767	False	nan
6240	30	4.5	[0.0, -3.0, 0.0, 0.0]	False	go	0.917	False	1.4167
6240	30	4.5	[0.0, -3.0, 3.0, 0.0]	False	stay	1.267	False	nan
6240	30	4.5	[0.0, -3.0, -3.0, 0.0]	False	go	0.767	False	nan
6240	45	4.5	[0.0, 0.0, 0.0, 0.0]	False	stay	1.967	False	nan
6240	45	4.5	[0.0, 3.0, 0.0, 0.0]	False	stay	1.567	False	nan
6240	45	4.5	[0.0, 3.0, 3.0, 0.0]	False	stay	2.400	False	nan
6240	45	4.5	[0.0, 3.0, -3.0, 0.0]	False	go	2.217	True	nan
6240	45	4.5	[0.0, -3.0, 0.0, 0.0]	False	go	1.550	False	0.7667
6240	45	4.5	[0.0, -3.0, 3.0, 0.0]	False	stay	1.350	False	nan
6240	45	4.5	[0.0, -3.0, -3.0, 0.0]	False	go	2.100	False	nan
6240	45	4.5	[0.0, 3.0, 3.0, 0.0]	True	None	-1.000	False	nan
6240	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.983	False	0.3833
6240	30	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	1.117	False	0.3667
6240	30	4.5	[0.0, -3.0, -3.0, 0.0]	True	stay	1.500	False	nan
6240	45	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	1.800	False	nan
6240	45	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.800	False	0.8833
6240	40	3.4	[0.0, 3.91, 1.28, 0.0]	False	stay	1.567	False	nan
6240	30	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.867	False	nan
6240	41	3.1	[0.0, -0.41, 5.9, 0.0]	False	stay	1.417	False	nan
6240	45	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.883	False	0.95
6240	45	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	1.500	False	0.3333
6240	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.617	False	0.75
6240	30	4.5	[0.0, 3.0, 3.0, 0.0]	True	go	0.867	True	nan
6240	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	stay	2.050	False	nan
6240	30	4.5	[0.0, 3.0, 0.0, 0.0]	True	stay	1.450	False	nan
6240	30	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	0.483	False	1.85
6240	40	3.8	[0.0, 0.0, 0.0, 0.0]	False	stay	1.117	False	nan
6240	45	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.417	False	1.4167
6240	45	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.650	False	1.1833
6240	45	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.850	False	0.9
6240	30	4.5	[0.0, -3.0, 3.0, 0.0]	True	stay	1.367	False	nan
6240	45	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.783	False	0.9667
6240	30	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	1.200	False	0.4
6240	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	stay	1.217	False	nan
6240	45	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.417	False	1.2667
6240	30	4.5	[0.0, -3.0, -3.0, 0.0]	True	stay	1.017	False	nan
6240	30	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.600	False	1.0
6240	45	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.533	False	1.2167
6240	30	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	1.167	False	1.1667
6240	45	4.5	[0.0, 3.0, 3.0, 0.0]	True	go	0.517	False	0.55
6240	30	4.5	[0.0, 3.0, 0.0, 0.0]	True	go	0.683	False	0.25
6240	30	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.500	False	nan
6240	30	4.5	[0.0, 3.0, 0.0, 0.0]	True	go	0.500	False	0.4333
6240	30	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	0.417	False	1.9167
6240	30	4.5	[0.0, 3.0, 3.0, 0.0]	True	go	0.417	False	0.2333
6240	45	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.383	False	1.3
6240	45	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.517	False	1.1667
6240	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.650	False	0.7167
6240	44	2.7	[0.0, -0.69, 3.23, 0.0]	False	go	0.400	True	nan
6240	45	4.5	[0.0, -3.0, 0.0, 0.0]	True	stay	2.433	False	nan
6240	45	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.417	False	1.4167
6240	45	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	0.983	False	1.3333
6240	30	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	1.417	False	0.0667
6240	45	4.5	[0.0, 3.0, 0.0, 0.0]	True	go	0.450	False	0.8833
6240	45	4.5	[0.0, 3.0, 3.0, 0.0]	True	go	0.983	False	0.0833
6240	45	4.5	[0.0, 3.0, 3.0, 0.0]	True	go	0.450	False	0.6167
6240	45	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.500	False	1.3333
6240	45	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.450	False	nan
6240	30	4.5	[0.0, 0.0, 0.0, 0.0]	True	stay	1.183	False	nan
