participant_id	d_condition	tau_condition	a_condition	is_test_trial	decision	RT	collision	pet
5909	60	100.0	[0.0, 0.0, 0.0, 0.0]	False	None	-1.000	False	nan
5909	60	100.0	[0.0, 0.0, 0.0, 0.0]	False	None	-1.000	False	nan
5909	30	4.5	[0.0, 0.0, 0.0, 0.0]	False	go	2.117	True	nan
5909	30	4.5	[0.0, 3.0, 0.0, 0.0]	False	stay	2.033	False	nan
5909	30	4.5	[0.0, 3.0, 3.0, 0.0]	False	go	0.667	False	-0.0167
5909	30	4.5	[0.0, 3.0, -3.0, 0.0]	False	go	0.800	False	0.5667
5909	30	4.5	[0.0, -3.0, 0.0, 0.0]	False	stay	2.750	False	nan
5909	30	4.5	[0.0, -3.0, 3.0, 0.0]	False	go	0.567	False	1.0333
5909	30	4.5	[0.0, -3.0, -3.0, 0.0]	False	go	0.433	False	nan
5909	45	4.5	[0.0, 0.0, 0.0, 0.0]	False	go	0.483	False	1.2667
5909	45	4.5	[0.0, 3.0, 0.0, 0.0]	False	go	0.533	False	0.8
5909	45	4.5	[0.0, 3.0, 3.0, 0.0]	False	go	0.433	False	0.6333
5909	45	4.5	[0.0, 3.0, -3.0, 0.0]	False	go	0.717	False	0.9667
5909	45	4.5	[0.0, -3.0, 0.0, 0.0]	False	go	0.883	False	1.4333
5909	45	4.5	[0.0, -3.0, 3.0, 0.0]	False	go	0.433	False	1.4
5909	45	4.5	[0.0, -3.0, -3.0, 0.0]	False	go	0.800	False	nan
5909	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	stay	3.433	False	nan
5909	45	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	0.533	False	1.7833
5909	45	4.5	[0.0, 3.0, 3.0, 0.0]	True	go	1.033	False	0.0333
5909	30	4.5	[0.0, -3.0, -3.0, 0.0]	True	stay	1.050	False	nan
5909	30	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	2.700	False	nan
5909	45	4.5	[0.0, -3.0, 3.0, 0.0]	True	stay	2.783	False	nan
5909	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	1.800	True	nan
5909	45	4.5	[0.0, 3.0, 0.0, 0.0]	True	stay	2.233	False	nan
5909	45	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	1.650	False	0.1
5909	30	4.5	[0.0, 3.0, 0.0, 0.0]	True	stay	1.417	False	nan
5909	30	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.750	False	nan
5909	30	4.5	[0.0, 3.0, 3.0, 0.0]	True	stay	1.550	False	nan
5909	45	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	1.067	False	nan
5909	45	4.5	[0.0, 3.0, 3.0, 0.0]	True	stay	1.550	False	nan
5909	30	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	0.900	False	1.4333
5909	45	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	0.850	False	1.4667
5909	30	4.5	[0.0, 0.0, 0.0, 0.0]	True	stay	1.733	False	nan
5909	30	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	0.850	False	1.4833
5909	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.950	False	0.4167
5909	44	4.8	[0.0, 0.0, 0.0, 0.0]	False	go	0.650	False	1.35
