participant_id	d_condition	tau_condition	a_condition	is_test_trial	decision	RT	collision	pet
3782	60	100.0	[0.0, 0.0, 0.0, 0.0]	False	None	-1.000	False	nan
3782	60	100.0	[0.0, 0.0, 0.0, 0.0]	False	go	1.233	False	nan
3782	30	4.5	[0.0, 0.0, 0.0, 0.0]	False	stay	1.267	False	nan
3782	30	4.5	[0.0, 3.0, 0.0, 0.0]	False	stay	1.350	False	nan
3782	30	4.5	[0.0, 3.0, 3.0, 0.0]	False	go	0.383	False	0.2667
3782	30	4.5	[0.0, 3.0, -3.0, 0.0]	False	stay	0.683	False	nan
3782	30	4.5	[0.0, -3.0, 0.0, 0.0]	False	stay	0.700	False	nan
3782	30	4.5	[0.0, -3.0, 3.0, 0.0]	False	go	0.317	False	1.2833
3782	30	4.5	[0.0, -3.0, -3.0, 0.0]	False	go	0.433	False	nan
3782	45	4.5	[0.0, 0.0, 0.0, 0.0]	False	go	0.300	False	1.45
3782	45	4.5	[0.0, 3.0, 0.0, 0.0]	False	go	0.550	False	0.7833
3782	45	4.5	[0.0, 3.0, 3.0, 0.0]	False	go	0.350	False	0.7167
3782	45	4.5	[0.0, 3.0, -3.0, 0.0]	False	go	0.283	False	1.4
3782	45	4.5	[0.0, -3.0, 0.0, 0.0]	False	go	0.300	False	2.0167
3782	45	4.5	[0.0, -3.0, 3.0, 0.0]	False	go	0.350	False	1.4833
3782	45	4.5	[0.0, -3.0, -3.0, 0.0]	False	go	0.267	False	nan
3782	30	4.5	[0.0, -3.0, 3.0, 0.0]	True	stay	2.717	False	nan
3782	45	4.5	[0.0, 3.0, 3.0, 0.0]	True	go	0.367	False	0.7
3782	30	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.300	False	1.1833
3782	45	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.300	False	1.5333
3782	30	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.283	False	nan
3782	45	4.5	[0.0, 3.0, 0.0, 0.0]	True	go	0.317	False	1.0167
3782	45	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.300	False	1.45
3782	30	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.333	False	nan
3782	45	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.500	False	1.25
3782	30	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	0.283	False	2.05
3782	40	3.1	[0.0, -2.03, 0.25, 0.0]	False	go	0.350	False	0.3
3782	45	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.483	False	1.2
3782	30	4.5	[0.0, 3.0, 3.0, 0.0]	True	go	0.267	False	0.3833
3782	30	4.5	[0.0, 3.0, 0.0, 0.0]	True	go	0.300	False	0.6333
3782	30	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.317	False	1.1667
3782	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.333	False	1.0333
3782	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.383	False	0.9833
3782	30	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.333	False	nan
3782	45	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	0.350	False	1.9667
3782	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.383	False	0.9833
3782	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.450	False	0.9167
3782	45	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.317	False	1.5167
3782	45	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.417	False	1.4167
3782	36	4.5	[0.0, 5.58, 3.95, 0.0]	False	go	0.367	False	0.1833
3782	30	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.333	False	1.2667
3782	45	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.383	False	1.45
3782	30	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.333	False	1.2667
3782	45	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.367	False	1.3833
3782	30	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.667	False	nan
3782	45	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.350	False	nan
3782	45	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.417	False	1.4167
3782	30	4.5	[0.0, 3.0, 3.0, 0.0]	True	go	0.350	False	0.3
3782	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.450	False	0.9167
3782	45	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.333	False	1.35
3782	45	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	0.300	False	2.0167
3782	30	4.5	[0.0, 3.0, 3.0, 0.0]	True	go	0.317	False	0.3333
3782	30	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.567	False	0.9167
3782	30	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.367	False	nan
3782	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.383	False	0.9833
3782	45	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	0.383	False	1.9333
3782	45	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.350	False	1.4
3782	45	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.333	False	1.4167
3782	45	4.5	[0.0, 3.0, 0.0, 0.0]	True	go	0.350	False	0.9833
3782	45	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.367	False	1.3833
3782	30	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	0.350	False	1.9833
3782	30	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	0.400	False	1.9333
3782	30	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.533	False	nan
3782	30	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	0.383	False	1.95
3782	45	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.117	False	nan
3782	45	4.5	[0.0, 3.0, 0.0, 0.0]	True	go	0.400	False	0.9333
3782	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.633	False	0.7333
3782	45	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.450	False	1.3
3782	45	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.400	False	1.2833
3782	44	3.1	[0.0, -4.29, -5.97, 0.0]	False	go	0.600	False	0.8
3782	45	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	0.350	False	1.9667
3782	44	3.0	[0.0, 4.19, 3.1, 0.0]	False	go	0.350	True	nan
3782	45	4.5	[0.0, -3.0, 0.0, 0.0]	True	stay	0.967	False	nan
3782	45	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.350	False	nan
3782	45	4.5	[0.0, 3.0, 3.0, 0.0]	True	go	0.300	False	0.7667
3782	45	4.5	[0.0, 3.0, 0.0, 0.0]	True	stay	0.600	False	nan
3782	30	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.300	False	nan
3782	45	4.5	[0.0, 3.0, -3.0, 0.0]	True	stay	0.800	False	nan
3782	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.350	False	1.0167
3782	45	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.283	False	1.4667
3782	30	4.5	[0.0, 3.0, 0.0, 0.0]	True	go	0.283	False	0.65
3782	45	4.5	[0.0, 3.0, -3.0, 0.0]	True	stay	1.083	False	nan
3782	38	2.5	[0.0, -2.59, 0.0, 0.0]	False	go	0.417	True	nan
