participant_id	d_condition	tau_condition	a_condition	is_test_trial	decision	RT	collision	pet
4573	60	100.0	[0.0, 0.0, 0.0, 0.0]	False	None	-1.000	False	nan
4573	60	100.0	[0.0, 0.0, 0.0, 0.0]	False	go	3.150	False	nan
4573	30	4.5	[0.0, 0.0, 0.0, 0.0]	False	go	1.200	False	0.2833
4573	30	4.5	[0.0, 3.0, 0.0, 0.0]	False	None	-1.000	False	nan
4573	30	4.5	[0.0, 3.0, 3.0, 0.0]	False	None	-1.000	False	nan
4573	30	4.5	[0.0, 3.0, -3.0, 0.0]	False	go	1.250	False	0.1167
4573	30	4.5	[0.0, -3.0, 0.0, 0.0]	False	stay	1.967	False	nan
4573	30	4.5	[0.0, -3.0, 3.0, 0.0]	False	go	0.867	False	0.7333
4573	30	4.5	[0.0, -3.0, -3.0, 0.0]	False	go	0.667	False	nan
4573	45	4.5	[0.0, 0.0, 0.0, 0.0]	False	go	0.600	False	1.15
4573	45	4.5	[0.0, 3.0, 0.0, 0.0]	False	go	0.850	False	0.4833
4573	45	4.5	[0.0, 3.0, 3.0, 0.0]	False	go	0.667	False	0.4
4573	45	4.5	[0.0, 3.0, -3.0, 0.0]	False	go	0.567	False	1.1167
4573	45	4.5	[0.0, -3.0, 0.0, 0.0]	False	go	0.933	False	1.3833
4573	45	4.5	[0.0, -3.0, 3.0, 0.0]	False	go	0.433	False	1.4
4573	45	4.5	[0.0, -3.0, -3.0, 0.0]	False	go	0.500	False	nan
4573	30	4.5	[0.0, 3.0, 3.0, 0.0]	True	stay	2.300	False	nan
4573	45	4.5	[0.0, 3.0, 0.0, 0.0]	True	go	1.600	True	nan
4573	45	4.5	[0.0, 3.0, 3.0, 0.0]	True	stay	1.200	False	nan
4573	45	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	0.533	False	1.7833
4573	30	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.500	False	1.1
4573	45	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.617	False	1.0667
4573	37	2.7	[0.0, 4.04, 1.61, 0.0]	False	stay	0.600	False	nan
4573	30	4.5	[0.0, -3.0, 3.0, 0.0]	True	stay	0.750	False	nan
4573	30	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	1.250	False	0.35
4573	45	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.617	False	1.0667
4573	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	stay	0.933	False	nan
4573	30	4.5	[0.0, 0.0, 0.0, 0.0]	True	stay	0.783	False	nan
4573	45	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.517	False	nan
4573	30	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.467	False	1.0167
4573	45	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.517	False	nan
4573	30	4.5	[0.0, 0.0, 0.0, 0.0]	True	stay	0.867	False	nan
4573	30	4.5	[0.0, 3.0, 3.0, 0.0]	True	stay	1.167	False	nan
4573	30	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.583	False	1.0167
4573	30	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.650	False	nan
4573	30	4.5	[0.0, 0.0, 0.0, 0.0]	True	stay	0.883	False	nan
4573	45	4.5	[0.0, -3.0, 0.0, 0.0]	True	stay	1.017	False	nan
4573	45	4.5	[0.0, 3.0, 3.0, 0.0]	True	go	0.883	False	0.1833
4573	45	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.783	False	1.05
4573	30	4.5	[0.0, 0.0, 0.0, 0.0]	True	stay	0.967	False	nan
4573	30	4.5	[0.0, -3.0, 0.0, 0.0]	True	stay	0.817	False	nan
4573	45	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.567	False	1.1833
4573	45	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.533	False	1.2167
4573	45	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.517	False	nan
4573	30	4.5	[0.0, 3.0, 3.0, 0.0]	True	stay	0.917	False	nan
4573	45	4.5	[0.0, -3.0, -3.0, 0.0]	True	stay	0.850	False	nan
4573	30	4.5	[0.0, 3.0, 0.0, 0.0]	True	go	1.317	True	nan
4573	45	4.5	[0.0, 3.0, 0.0, 0.0]	True	stay	1.350	False	nan
4573	30	4.5	[0.0, 0.0, 0.0, 0.0]	True	stay	1.200	False	nan
4573	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	stay	1.083	False	nan
4573	45	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.350	False	1.4833
4573	45	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.617	False	nan
4573	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.617	False	0.75
4573	30	4.5	[0.0, 3.0, 3.0, 0.0]	True	stay	0.817	False	nan
