participant_id	d_condition	tau_condition	a_condition	is_test_trial	decision	RT	collision	pet
9452	60	100.0	[0.0, 0.0, 0.0, 0.0]	False	None	-1.000	False	nan
9452	60	100.0	[0.0, 0.0, 0.0, 0.0]	False	go	2.517	False	nan
9452	30	4.5	[0.0, 0.0, 0.0, 0.0]	False	stay	1.967	False	nan
9452	30	4.5	[0.0, 3.0, 0.0, 0.0]	False	stay	1.167	False	nan
9452	30	4.5	[0.0, 3.0, 3.0, 0.0]	False	go	0.367	False	0.2833
9452	30	4.5	[0.0, 3.0, -3.0, 0.0]	False	stay	0.500	False	nan
9452	30	4.5	[0.0, -3.0, 0.0, 0.0]	False	stay	1.233	False	nan
9452	30	4.5	[0.0, -3.0, 3.0, 0.0]	False	go	0.550	False	1.05
9452	30	4.5	[0.0, -3.0, -3.0, 0.0]	False	go	0.717	False	nan
9452	45	4.5	[0.0, 0.0, 0.0, 0.0]	False	go	0.400	False	1.35
9452	45	4.5	[0.0, 3.0, 0.0, 0.0]	False	go	0.733	False	0.6
9452	45	4.5	[0.0, 3.0, 3.0, 0.0]	False	go	0.383	False	0.6833
9452	45	4.5	[0.0, 3.0, -3.0, 0.0]	False	go	0.333	False	1.35
9452	45	4.5	[0.0, -3.0, 0.0, 0.0]	False	go	0.483	False	1.8333
9452	45	4.5	[0.0, -3.0, 3.0, 0.0]	False	stay	2.250	False	nan
9452	45	4.5	[0.0, -3.0, -3.0, 0.0]	False	go	0.333	False	nan
9452	45	4.5	[0.0, 0.0, 0.0, 0.0]	True	None	-1.000	False	nan
9452	30	4.5	[0.0, 3.0, 3.0, 0.0]	True	go	0.750	True	nan
9452	45	4.5	[0.0, -3.0, 3.0, 0.0]	True	stay	3.283	False	nan
9452	30	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.367	False	1.2333
9452	30	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.783	False	0.7
9452	45	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.683	False	nan
9452	30	4.5	[0.0, 3.0, 0.0, 0.0]	True	go	0.317	False	0.6167
9452	30	4.5	[0.0, -3.0, -3.0, 0.0]	True	None	-1.000	False	nan
9452	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	stay	1.533	False	nan
9452	45	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.300	False	1.3833
9452	30	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.683	False	0.9167
9452	45	4.5	[0.0, 3.0, 3.0, 0.0]	True	go	0.533	False	0.5333
9452	45	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.317	False	1.4333
9452	44	2.5	[0.0, -4.75, 1.33, 0.0]	False	go	0.367	True	nan
9452	45	4.5	[0.0, 3.0, 0.0, 0.0]	True	None	-1.000	False	nan
9452	30	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.983	False	0.6167
9452	30	4.5	[0.0, -3.0, 0.0, 0.0]	True	go	0.517	False	1.8167
9452	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.500	False	0.8667
9452	30	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.517	False	1.0833
9452	45	4.5	[0.0, -3.0, -3.0, 0.0]	True	go	0.567	False	nan
9452	30	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.517	False	1.0833
9452	30	4.5	[0.0, 0.0, 0.0, 0.0]	True	go	0.700	False	0.7833
9452	30	4.5	[0.0, 3.0, -3.0, 0.0]	True	go	0.617	False	0.75
9452	45	4.5	[0.0, -3.0, 3.0, 0.0]	True	go	0.550	False	1.2833
9452	30	4.5	[0.0, -3.0, 0.0, 0.0]	True	stay	1.317	False	nan
9452	30	4.5	[0.0, 3.0, 0.0, 0.0]	True	go	0.567	False	0.3667
9452	45	4.5	[0.0, 3.0, 0.0, 0.0]	True	go	0.517	False	0.8167
9452	30	4.5	[0.0, -3.0, 3.0, 0.0]	True	stay	1.950	False	nan
