tta_0,d_0,a_values,a_duration,is_go_decision,RT_go,RT_stay,subj_id
4.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.30506727500327246,0.6219989526378613,1.3760625510657274,all
4.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.2669728375943452,0.5778739955011266,1.2679745862702674,all
4.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.2676082724700529,0.5802689488806417,1.280937932710484,all
4.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.3709814567452603,0.6909613660136832,1.5184218194185812,all
4.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.38529100105240216,0.7307854773988044,1.6153252360424062,all
5.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.5091112256399298,0.6726680894787505,1.6851768573160157,all
5.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.4322088665779399,0.6059501150607085,1.4832751399141324,all
5.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.43510016138573665,0.6131948210789849,1.5233264792606207,all
5.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.6492178362626867,0.7651740941978259,1.917060778356135,all
5.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.7679775855920181,0.9965865960395384,1.7440378673305177,all
