tta_0,d_0,a_values,a_duration,is_go_decision,RT_go,RT_stay,subj_id
4.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.33092792152896705,0.4876883758796213,1.5691741211837429,all
4.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.31712095744213264,0.4562030982339499,1.4673298708681062,all
4.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.3180896091621478,0.4611437744512792,1.4882918349753753,all
4.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.35426590774375666,0.5385225863373092,1.7017064736513727,all
4.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.3738927994966573,0.609644996399778,1.816057923802609,all
5.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.43551272082288744,0.5418058823479901,1.8214753449181862,all
5.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.40687408904736067,0.4836524893058204,1.6306475190773604,all
5.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.4095741248533162,0.49510785360882914,1.6795321707085946,all
5.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.49838322481085234,0.6400063589491601,2.0762081148128817,all
5.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.6468860812940191,1.0793340173629282,1.979109426804658,all
