tta_0,d_0,a_values,a_duration,is_gap_accepted,RT_go,RT_stay,subj_id
4.5,80,"(0.0, 0.0, 0.0, 0.0)",1.0,0.378933758708112,0.5165954848641542,1.6220753662748801,all
4.5,80,"(0.0, 4, 4, 0.0)",1.0,0.33814461552723424,0.4466032824106697,1.4549533834971886,all
4.5,80,"(0.0, 4, -4, 0.0)",1.0,0.34435641143811646,0.47548300512329145,1.5150351017320873,all
4.5,80,"(0.0, -4, 4, 0.0)",1.0,0.42939270544725483,0.5726058940219327,1.755670626566417,all
4.5,80,"(0.0, -4, -4, 0.0)",1.0,0.46440409570386876,0.7059786614133899,1.9173370562551764,all
5.5,80,"(0.0, 0.0, 0.0, 0.0)",1.0,0.4667097219344223,0.5628747662486572,1.8157096510866386,all
5.5,80,"(0.0, 4, 4, 0.0)",1.0,0.4074298133940012,0.46681596987283075,1.5802932298502173,all
5.5,80,"(0.0, 4, -4, 0.0)",1.0,0.4184548863142817,0.5110753550446673,1.6716862136981196,all
5.5,80,"(0.0, -4, 4, 0.0)",1.0,0.546606622910246,0.6398210744752061,2.0169863192188675,all
5.5,80,"(0.0, -4, -4, 0.0)",1.0,0.6714325787252962,1.0220120730023503,2.0539549574560714,all
