tta_0,d_0,a_values,a_duration,is_go_decision,RT_go,RT_stay,subj_id
4.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.29560537945017,0.673303190706296,1.4706717514517227,all
4.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.25819259095591834,0.6274572793157206,1.358087623190937,all
4.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.2590425954542175,0.6307541320206057,1.374223112591102,all
4.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.3601789769505847,0.7418805184553089,1.612187340398232,all
4.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.3760737693350803,0.7926964133336539,1.7274991241684428,all
5.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.487449082343104,0.7252369681793809,1.782000329696074,all
5.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.41153832157992587,0.6552691298195096,1.5743724237870962,all
5.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.415140724614427,0.6647356616877889,1.621043771372317,all
5.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.6239604621575019,0.8143288595915227,2.0067463790538826,all
5.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.751243439516772,1.072079862162557,2.1403532952247075,all
