tta_0,d_0,a_1,a_2,is_gap_accepted,RT_go,RT_stay,subj_id
5.75,70.0,4.0,4.0,0.19547362438154536,0.7277688956747276,1.3442021583416284,all
5.75,80.0,-4.0,-4.0,0.7900581178303091,1.1612996770125845,1.7946356780924138,all
5.75,80.0,-4.0,0.0,0.6732245755212407,0.9460490268236946,2.230446440014562,all
5.75,80.0,-4.0,4.0,0.6419889435599918,0.8900833990097893,2.0915966832733504,all
5.75,80.0,0.0,-4.0,0.5185425585174737,0.8624373695534271,1.978764433742975,all
5.75,80.0,0.0,0.0,0.4997318306584777,0.8180157824773132,1.868153669749745,all
5.75,80.0,0.0,4.0,0.49156540764347945,0.8006525192726903,1.8095223431286525,all
5.75,80.0,4.0,-4.0,0.4178775554774443,0.7603177829636559,1.6990282813974313,all
5.75,80.0,4.0,0.0,0.4137083763000643,0.7498376611785514,1.6595363866043835,all
5.75,80.0,4.0,4.0,0.41105566391621734,0.7435815536064222,1.63301599050039,all
5.75,90.0,-4.0,-4.0,0.8424999280643823,0.8827146986266715,2.0913489548480144,all
5.75,90.0,-4.0,0.0,0.8058136844793892,0.8184040940546738,2.510699025384923,all
5.75,90.0,-4.0,4.0,0.7894103814818654,0.7915372498834057,2.373593425387288,all
5.75,90.0,0.0,-4.0,0.7289613672099138,0.8016367638367189,2.3407089901897606,all
5.75,90.0,0.0,0.0,0.7121398297458702,0.7713920926258904,2.198878638793525,all
5.75,90.0,0.0,4.0,0.7035834329310297,0.757402729773437,2.113032011228638,all
5.75,90.0,4.0,-4.0,0.6467304868834303,0.741734114495938,2.030273228257951,all
5.75,90.0,4.0,0.0,0.6405203756226039,0.7308224761322119,1.9641320059816796,all
5.75,90.0,4.0,4.0,0.6364437148800048,0.7240901413139462,1.9185805249803105,all
6.0,70.0,-4.0,-4.0,0.7581945835158477,1.4594244858226708,1.0409084039155934,all
6.0,70.0,-4.0,0.0,0.5094992645969127,1.0701509658676076,1.9974137967313175,all
6.0,70.0,-4.0,4.0,0.4637925646181494,0.9668160655049062,1.8601017068589414,all
6.0,70.0,0.0,-4.0,0.3046900666844167,0.8920418203288425,1.6774302963846903,all
6.0,70.0,0.0,0.0,0.2886970752982086,0.8275037376381175,1.5859695193929642,all
6.0,70.0,0.0,4.0,0.2834663576157756,0.8091063227562932,1.5460654005623655,all
6.0,70.0,4.0,-4.0,0.22253338456720614,0.7466101993552561,1.4213056244186706,all
6.0,70.0,4.0,0.0,0.22069343401327654,0.738215776626624,1.3988742577640547,all
6.0,70.0,4.0,4.0,0.21958834808428593,0.7335224244103218,1.3845316618434316,all
6.0,80.0,-4.0,-4.0,0.8426768560888986,1.1344225883011498,1.3230332928462727,all
6.0,80.0,-4.0,0.0,0.730421340926771,0.9537827928416381,2.3184106904528687,all
6.0,80.0,-4.0,4.0,0.6943674555507297,0.8920259723640219,2.1739712649941523,all
6.0,80.0,0.0,-4.0,0.5685708330006446,0.882369993515973,2.0796451347083313,all
6.0,80.0,0.0,0.0,0.5433259162384011,0.8256159357947065,1.943777543321183,all
6.0,80.0,0.0,4.0,0.5332579508101054,0.8053800519062961,1.873221915194893,all
6.0,80.0,4.0,-4.0,0.4538591032749763,0.7661692683697607,1.7596729932112676,all
6.0,80.0,4.0,0.0,0.44858261883910183,0.7536192536558153,1.7116470098047873,all
6.0,80.0,4.0,4.0,0.44536532626476016,0.7464819524977806,1.680452106822726,all
6.0,90.0,-4.0,-4.0,0.8536605997553851,0.8518013411851579,1.5354194864901873,all
6.0,90.0,-4.0,0.0,0.8250661312787464,0.805060163216296,2.5538780942484576,all
6.0,90.0,-4.0,4.0,0.809729728709755,0.7797262412267302,2.4412332730568616,all
6.0,90.0,0.0,-4.0,0.7586350014982559,0.8025589748469915,2.440428645688527,all
6.0,90.0,0.0,0.0,0.7396188887672412,0.7683162902003281,2.279877260800124,all
6.0,90.0,0.0,4.0,0.7303815223596836,0.7532932560245882,2.180308574431408,all
6.0,90.0,4.0,-4.0,0.6756826303583602,0.7413339063404811,2.1020906818648277,all
6.0,90.0,4.0,0.0,0.6685859947960746,0.72900777182786,2.023860396784249,all
6.0,90.0,4.0,4.0,0.6640864056759788,0.7217030801606457,1.9714314389461933,all
