participant_id	d_condition	tau_condition	a_condition	is_test_trial	decision	RT	collision	pet
3	60	100.0	[0.0, 0.0, 0.0]	False	go	2.550	False	-9.7667
3	60	100.0	[0.0, 0.0, 0.0]	False	go	1.633	False	-8.85
3	30	4.5	[0.0, 0.0, 0.0]	False	stay	1.050	False	-0.15
3	30	4.5	[0.0, 3.0, 0.0]	False	stay	1.067	False	-0.7
3	30	4.5	[0.0, 3.0, 3.0]	False	go	0.417	False	0.0167
3	30	4.5	[0.0, 3.0, -3.0]	False	stay	1.350	False	0.0167
3	30	4.5	[0.0, -3.0, 0.0]	False	go	1.200	False	1.1333
3	30	4.5	[0.0, -3.0, 3.0]	False	go	1.217	True	-0.2333
3	30	4.5	[0.0, -3.0, -3.0]	False	go	1.200	False	-0.2333
3	45	4.5	[0.0, 0.0, 0.0]	False	stay	1.583	False	0.55
3	45	4.5	[0.0, 3.0, 0.0]	False	stay	1.383	False	0.1333
3	45	4.5	[0.0, 3.0, 3.0]	False	stay	1.650	False	-0.4
3	45	4.5	[0.0, 3.0, -3.0]	False	go	1.667	False	-0.8667
3	45	4.5	[0.0, -3.0, 0.0]	False	go	1.667	False	0.65
3	45	4.5	[0.0, -3.0, 3.0]	False	go	1.617	True	-0.4167
3	45	4.5	[0.0, -3.0, -3.0]	False	go	1.733	False	-0.4833
3	41	3.9	[0.0, 0.0, 0.0]	False	stay	1.783	False	-0.5667
3	30	4.5	[0.0, -3.0, 3.0]	True	go	1.250	True	-0.7667
3	45	4.5	[0.0, -3.0, 0.0]	True	go	1.400	False	0.9167
3	45	4.5	[0.0, -3.0, 0.0]	True	go	1.383	False	0.9333
3	45	4.5	[0.0, 3.0, -3.0]	True	stay	1.583	False	0.9333
3	30	4.5	[0.0, 3.0, 0.0]	True	stay	1.783	False	-0.45
3	45	4.5	[0.0, -3.0, 0.0]	True	go	0.883	False	1.4333
3	45	4.5	[0.0, -3.0, 0.0]	True	stay	2.883	False	1.4333
3	30	4.5	[0.0, -3.0, -3.0]	True	go	1.350	False	0.9667
3	30	4.5	[0.0, -3.0, 3.0]	True	go	1.367	True	-0.3833
3	45	4.5	[0.0, -3.0, -3.0]	True	go	1.883	False	-0.9167
3	39	4.7	[0.0, -2.85, 5.03]	False	go	1.400	True	-0.9667
3	45	4.5	[0.0, -3.0, 3.0]	True	stay	1.717	False	-0.6333
3	45	4.5	[0.0, -3.0, 0.0]	True	go	1.367	False	0.95
3	30	4.5	[0.0, 3.0, 3.0]	True	stay	1.350	False	-0.9333
3	45	4.5	[0.0, 3.0, 3.0]	True	stay	1.533	False	-0.5667
3	45	4.5	[0.0, 3.0, -3.0]	True	stay	1.350	False	-0.5667
3	45	4.5	[0.0, 3.0, 0.0]	True	stay	2.167	False	-0.0333
3	30	4.5	[0.0, 3.0, 3.0]	True	go	0.783	True	-0.9333
3	30	4.5	[0.0, 3.0, -3.0]	True	stay	1.667	False	-0.9333
3	31	4.3	[0.0, -0.81, -4.08]	False	go	1.750	False	-1.3167
3	40	4.4	[0.0, 3.26, 0.57]	False	stay	1.683	False	-0.7667
3	30	4.5	[0.0, 3.0, 3.0]	True	stay	1.500	False	-1.3167
3	45	4.5	[0.0, 3.0, -3.0]	True	stay	2.217	False	-1.3167
3	45	4.5	[0.0, -3.0, 3.0]	True	stay	2.200	False	-0.5
3	45	4.5	[0.0, 3.0, 3.0]	True	stay	1.617	False	-0.95
3	35	3.9	[0.0, 5.33, 0.0]	False	stay	1.517	False	-1.2667
3	37	4.5	[0.0, -1.66, -3.49]	False	go	1.217	False	-0.7333
3	30	4.5	[0.0, 3.0, -3.0]	True	stay	1.800	False	-0.7333
3	30	4.5	[0.0, 0.0, 0.0]	True	go	1.433	False	0.05
3	30	4.5	[0.0, 3.0, 3.0]	True	stay	2.067	False	-1.0
3	45	4.5	[0.0, 3.0, 0.0]	True	stay	1.750	False	-0.1
3	30	4.5	[0.0, 3.0, 0.0]	True	stay	1.417	False	-0.5
3	45	4.5	[0.0, 3.0, 0.0]	True	stay	1.483	False	-0.1
3	45	4.5	[0.0, 3.0, 3.0]	True	stay	1.983	False	-0.6333
3	45	4.5	[0.0, 0.0, 0.0]	True	go	1.833	False	-0.0833
3	43	3.1	[0.0, 1.83, -5.0]	False	stay	1.067	False	-0.0833
