t,x,y,orientation,speed,acceleration,deceleration,steering_angle
0.0,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
0.1,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
0.2,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
0.30000000000000004,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
0.4,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
0.5,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
0.6000000000000001,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
0.7000000000000001,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
0.8,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
0.9,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
1.0,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
1.1,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
1.2000000000000002,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
1.3,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
1.4000000000000001,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
1.5,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
1.6,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
1.7000000000000002,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
1.8,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
1.9000000000000001,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
2.0,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
2.1,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
2.2,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
2.3000000000000003,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
2.4000000000000004,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
2.5,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
2.6,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
2.7,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
2.8000000000000003,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
2.9000000000000004,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
3.0,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
3.1,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
3.2,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
3.3000000000000003,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
3.4000000000000004,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
3.5,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
3.6,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
3.7,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
3.8000000000000003,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
3.9000000000000004,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
4.0,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
4.1000000000000005,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
4.2,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
4.3,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
4.4,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
4.5,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
4.6000000000000005,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
4.7,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
4.800000000000001,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
4.9,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
5.0,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
5.1000000000000005,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
5.2,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
5.300000000000001,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
5.4,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
5.5,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
5.6000000000000005,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
5.7,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
5.800000000000001,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
5.9,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
6.0,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
6.1000000000000005,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
6.2,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
6.300000000000001,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
6.4,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
6.5,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
6.6000000000000005,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
6.7,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
6.800000000000001,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
6.9,40.0,20.0,1.5707963267948966,0.0,0.0,0.0,0.0
