participant_id	d_condition	tau_condition	a_condition	decision	RT	collision
42	60	100.0	[0.0, 0.0]	go	1.860	False
42	60	100.0	[0.0, 0.0]	go	3.420	False
42	60	100.0	[0.0, 0.0]	go	1.380	False
42	60	100.0	[0.0, 0.0]	go	1.160	False
42	60	100.0	[0.0, 0.0]	go	0.400	False
42	60	3.5	[0.0, -2.0]	go	0.420	False
42	60	3.5	[-2.0, -2.0]	stay	1.260	False
42	60	3.5	[4.0, 4.0]	stay	1.120	False
42	60	3.5	[-2.0, 4.0]	go	1.040	True
42	30	5.0	[-2.0, 0.0]	go	1.040	False
42	60	5.0	[-2.0, 0.0]	go	0.860	False
42	60	5.0	[0.0, 4.0]	go	1.100	False
42	30	3.5	[4.0, -2.0]	stay	1.260	False
42	60	5.0	[-2.0, 4.0]	go	0.800	False
42	60	5.0	[0.0, -2.0]	go	0.840	False
42	60	5.0	[0.0, 4.0]	go	0.720	False
42	30	3.5	[0.0, 0.0]	stay	1.360	False
42	30	5.0	[0.0, 0.0]	go	0.700	False
