tta_0,d_0,a_values,a_duration,is_go_decision,RT_go,RT_stay,subj_id
4.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.3134070341135266,0.4707316641284413,1.540820051464083,all
4.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.3005671941572084,0.44193394458328433,1.4470713481244022,all
4.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.30112622766457686,0.4448775571762388,1.4626508114551853,all
4.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.33792408098561155,0.5247366047508729,1.674183962674847,all
4.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.35170219922108514,0.6014757441255342,1.7841046256443913,all
5.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.4360097402002954,0.5241109337409903,1.8071100396203659,all
5.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.4062146938457087,0.46790159658287517,1.6196319978943674,all
5.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.40817119660674633,0.47601131056437646,1.6612679257197904,all
5.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.506364458319009,0.6381809573746566,2.0736591881847115,all
5.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.6688813956686085,1.1772726591229914,1.8372837454632909,all
