tta_0,d_0,a_values,a_duration,is_go_decision,RT_go,RT_stay,subj_id
4.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.30227414584466256,0.6654929004518725,1.4431048640393964,all
4.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.26864738856749726,0.6196436119934791,1.3418122620772313,all
4.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.26943325712658367,0.6227701904895443,1.355495368362338,all
4.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.36163128533475963,0.7355059540321881,1.5721017005768465,all
4.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.37758276976286903,0.7889104042469169,1.6733795852163877,all
5.5,80.0,"(0.0, 0.0, 0.0, 0.0)",1.0,0.4883932426420633,0.7187679079767509,1.7392908706998458,all
5.5,80.0,"(0.0, 4, 4, 0.0)",1.0,0.41850401981588836,0.6475750312770178,1.5514351875939523,all
5.5,80.0,"(0.0, 4, -4, 0.0)",1.0,0.4219203412231327,0.6569379591618469,1.5923594740848375,all
5.5,80.0,"(0.0, -4, 4, 0.0)",1.0,0.617021655478249,0.8112060303132488,1.9407789814188137,all
5.5,80.0,"(0.0, -4, -4, 0.0)",1.0,0.7417643397254631,1.0731771309885991,1.9715977548767214,all
