tta_0,d_0,a_values,is_gap_accepted,RT_go,RT_stay,subj_id
4.0,70.0,"(0.0, 0.0, 0.0, 0.0)",0.06972196653075037,0.7128674894846619,1.0881420558326187,all
4.0,70.0,"(0.0, 4, 4, 0.0)",0.06211061137810388,0.6859948048445494,1.0440178793918957,all
4.0,70.0,"(0.0, 4, -4, 0.0)",0.062138181777295666,0.6863826032381318,1.0455834017820667,all
4.0,70.0,"(0.0, -4, 4, 0.0)",0.0841088313130638,0.7618065131066382,1.157744131181546,all
4.0,70.0,"(0.0, -4, -4, 0.0)",0.08498047429662134,0.771954480981958,1.1728153075750765,all
4.0,80.0,"(0.0, 0.0, 0.0, 0.0)",0.20488556173363043,0.7390810082102677,1.3342473684561968,all
4.0,80.0,"(0.0, 4, 4, 0.0)",0.1842549269918649,0.7106629153911264,1.2653181969423797,all
4.0,80.0,"(0.0, 4, -4, 0.0)",0.18445105849284354,0.7116083770777216,1.2709437977014717,all
4.0,80.0,"(0.0, -4, 4, 0.0)",0.23912977837067986,0.783461144290577,1.426906624581822,all
4.0,80.0,"(0.0, -4, -4, 0.0)",0.2421856352747006,0.7961165187220827,1.4613168476730103,all
4.0,90.0,"(0.0, 0.0, 0.0, 0.0)",0.42818896043784793,0.741714621326506,1.5902462164032096,all
4.0,90.0,"(0.0, 4, 4, 0.0)",0.3944985807513528,0.7163393627412418,1.496253166301737,all
4.0,90.0,"(0.0, 4, -4, 0.0)",0.39518473369651,0.7179436813150135,1.5101694480412005,all
4.0,90.0,"(0.0, -4, 4, 0.0)",0.4763775147739753,0.775421947880101,1.696273259455411,all
4.0,90.0,"(0.0, -4, -4, 0.0)",0.4822316956442305,0.7881464610538927,1.7569288444395592,all
4.25,70.0,"(0.0, 0.0, 0.0, 0.0)",0.08427156357726837,0.7304875747857439,1.1438738223630005,all
4.25,70.0,"(0.0, 4, 4, 0.0)",0.07379441867792197,0.6980204412744917,1.088492258170012,all
4.25,70.0,"(0.0, 4, -4, 0.0)",0.07384752250699862,0.6986550647494932,1.090985374606677,all
4.25,70.0,"(0.0, -4, 4, 0.0)",0.10570972554230862,0.7926433109870273,1.2341673139284701,all
4.25,70.0,"(0.0, -4, -4, 0.0)",0.10807857464131859,0.8153858084718245,1.2640373393665547,all
4.25,80.0,"(0.0, 0.0, 0.0, 0.0)",0.23952824457360863,0.7561800620679293,1.409058870942603,all
4.25,80.0,"(0.0, 4, 4, 0.0)",0.21269798986085434,0.7224819280553284,1.3238911842391548,all
4.25,80.0,"(0.0, 4, -4, 0.0)",0.21304711547900884,0.723961619240976,1.332378020784995,all
4.25,80.0,"(0.0, -4, 4, 0.0)",0.2861447626401754,0.8095848971750161,1.5234868297767994,all
4.25,80.0,"(0.0, -4, -4, 0.0)",0.2929011608333371,0.833815377628836,1.5837402378853407,all
4.25,90.0,"(0.0, 0.0, 0.0, 0.0)",0.47726901346573136,0.7541224008825363,1.6809209157654588,all
4.25,90.0,"(0.0, 4, 4, 0.0)",0.4370851277534215,0.7251427474110979,1.5664614363183353,all
4.25,90.0,"(0.0, 4, -4, 0.0)",0.4381831291122121,0.7275126546999684,1.5864717360945806,all
4.25,90.0,"(0.0, -4, 4, 0.0)",0.5352641271772791,0.7916954857474039,1.8061229972883057,all
4.25,90.0,"(0.0, -4, -4, 0.0)",0.5457416317493465,0.8128738095137849,1.9027114926066886,all
4.5,70.0,"(0.0, 0.0, 0.0, 0.0)",0.10119759723187222,0.7483686796816628,1.2030828272875118,all
4.5,70.0,"(0.0, 4, 4, 0.0)",0.0870145655579506,0.7095980206757257,1.1343263123439085,all
4.5,70.0,"(0.0, 4, -4, 0.0)",0.08711115319394103,0.7105867300080032,1.1381426799730274,all
4.5,70.0,"(0.0, -4, 4, 0.0)",0.1326024930672421,0.8256352468178235,1.3181956872367893,all
4.5,70.0,"(0.0, -4, -4, 0.0)",0.13891372687192693,0.8758617869774735,1.3753974083030074,all
4.5,80.0,"(0.0, 0.0, 0.0, 0.0)",0.2772737636884219,0.7728192600735257,1.487204751549368,all
4.5,80.0,"(0.0, 4, 4, 0.0)",0.24311478565372777,0.7334214571183418,1.3831892186842245,all
4.5,80.0,"(0.0, 4, -4, 0.0)",0.2437003356313318,0.7356270987869822,1.3955566057490632,all
4.5,80.0,"(0.0, -4, 4, 0.0)",0.3389848269906455,0.8353314426052644,1.6256012351669165,all
4.5,80.0,"(0.0, -4, -4, 0.0)",0.3531250378097776,0.8797717183818582,1.7266345935834715,all
4.5,90.0,"(0.0, 0.0, 0.0, 0.0)",0.5255628281021191,0.7649395639934208,1.7741790303584999,all
