participant_id	d_condition	tau_condition	a_condition	decision	RT	collision
7	60	100.0	[0.0, 0.0]	go	3.980	False
7	60	100.0	[0.0, 0.0]	go	2.560	False
7	30	3.5	[0.0, 0.0]	stay	2.300	False
7	30	3.5	[0.0, 3.0]	stay	1.880	False
7	30	3.5	[0.0, -3.0]	stay	1.340	False
7	30	3.5	[-3.0, 0.0]	go	1.320	False
7	30	3.5	[-3.0, -3.0]	go	1.620	False
7	30	3.5	[3.0, 0.0]	stay	1.180	False
7	30	3.5	[3.0, 3.0]	stay	1.000	False
7	30	5.0	[0.0, 0.0]	stay	2.160	False
7	30	5.0	[0.0, 3.0]	go	1.500	True
7	30	5.0	[0.0, -3.0]	go	1.100	False
7	30	5.0	[-3.0, 0.0]	go	2.080	False
7	30	5.0	[-3.0, -3.0]	stay	1.240	False
7	30	5.0	[3.0, 0.0]	go	1.220	True
7	30	5.0	[3.0, 3.0]	stay	1.740	False
7	60	3.5	[0.0, 0.0]	stay	1.040	False
7	60	3.5	[0.0, 3.0]	stay	1.220	False
7	60	3.5	[0.0, -3.0]	go	1.660	False
7	60	3.5	[-3.0, 0.0]	stay	1.840	False
7	60	3.5	[-3.0, -3.0]	go	1.660	False
7	60	3.5	[3.0, 0.0]	stay	1.480	False
7	60	3.5	[3.0, 3.0]	stay	1.500	False
7	60	5.0	[0.0, 0.0]	go	1.100	False
7	60	5.0	[0.0, 3.0]	stay	1.560	False
7	60	5.0	[0.0, -3.0]	go	0.880	False
7	60	5.0	[-3.0, 0.0]	go	1.060	False
7	60	5.0	[-3.0, -3.0]	go	0.900	False
7	60	5.0	[3.0, 0.0]	go	0.600	False
7	60	5.0	[3.0, 3.0]	go	0.640	False
7	30	3.5	[3.0, 0.0]	stay	1.760	False
7	30	5.0	[3.0, 3.0]	stay	1.340	False
7	60	3.5	[0.0, 3.0]	stay	1.360	False
7	30	3.5	[0.0, 3.0]	stay	1.320	False
7	60	3.5	[0.0, -3.0]	stay	1.520	False
7	30	3.5	[3.0, 3.0]	stay	1.060	False
7	30	3.5	[3.0, 3.0]	stay	1.440	False
7	30	5.0	[3.0, 3.0]	stay	1.460	False
7	60	3.5	[0.0, -3.0]	go	1.720	False
7	60	3.5	[-3.0, -3.0]	go	3.040	False
7	30	3.5	[3.0, 0.0]	stay	1.600	False
7	60	5.0	[3.0, 3.0]	go	0.620	False
7	60	3.5	[0.0, -3.0]	stay	1.740	False
7	60	5.0	[-3.0, -3.0]	go	0.740	False
7	60	5.0	[-3.0, -3.0]	go	1.600	False
7	60	5.0	[3.0, 0.0]	stay	1.420	False
7	30	5.0	[0.0, 3.0]	stay	1.480	False
7	30	5.0	[0.0, 0.0]	go	0.800	False
7	60	3.5	[-3.0, -3.0]	stay	3.180	False
7	30	5.0	[3.0, 0.0]	stay	1.980	False
7	60	5.0	[3.0, 3.0]	go	0.460	False
7	30	5.0	[-3.0, 0.0]	go	0.700	False
7	60	3.5	[3.0, 0.0]	stay	1.200	False
7	30	5.0	[0.0, -3.0]	go	0.300	False
7	30	3.5	[-3.0, -3.0]	go	0.600	False
7	30	5.0	[0.0, 3.0]	go	0.940	True
7	30	5.0	[-3.0, 0.0]	go	1.240	False
7	30	3.5	[0.0, 3.0]	stay	1.000	False
7	60	3.5	[-3.0, -3.0]	go	3.060	False
7	60	3.5	[-3.0, -3.0]	stay	1.480	False
7	30	3.5	[0.0, 3.0]	go	0.580	True
7	30	5.0	[3.0, 3.0]	stay	1.460	False
7	60	3.5	[0.0, 0.0]	stay	1.540	False
