participant_id	d_condition	tau_condition	a_condition	decision	RT
2	60	3.5	4.00	go	3.233
2	30	5.0	4.00	stay	1.267
2	30	3.5	4.00	stay	1.617
2	30	3.5	0.00	stay	0.900
2	30	5.0	4.00	go	0.533
2	60	5.0	4.00	go	0.600
2	30	5.0	0.00	stay	1.050
2	30	5.0	0.00	go	0.617
2	60	3.5	4.00	stay	0.933
2	60	3.5	-2.00	go	0.867
2	30	3.5	4.00	stay	1.400
2	60	3.5	4.00	go	0.567
2	30	5.0	-2.00	go	1.417
2	60	5.0	0.00	go	1.750
2	60	5.0	-2.00	go	1.467
2	30	5.0	4.00	stay	1.433
2	30	3.5	0.00	stay	1.883
2	30	3.5	-2.00	go	0.783
2	60	3.5	0.00	stay	1.083
2	60	3.5	4.00	stay	1.083
2	30	3.5	4.00	stay	1.267
2	60	5.0	4.00	stay	2.100
2	60	5.0	-2.00	go	0.517
2	60	5.0	0.00	go	2.183
2	30	3.5	0.00	stay	1.233
2	60	3.5	0.00	stay	2.017
2	30	3.5	-2.00	go	1.017
2	60	5.0	-2.00	go	2.417
2	60	5.0	0.00	go	1.083
2	60	5.0	-2.00	go	1.133
2	60	5.0	4.00	go	0.683
2	30	5.0	4.00	stay	1.400
2	30	5.0	-2.00	go	0.667
2	30	3.5	-2.00	go	0.700
2	30	5.0	-2.00	go	0.583
2	30	3.5	0.00	go	1.350
2	60	5.0	0.00	go	0.617
2	60	5.0	4.00	stay	1.700
2	30	5.0	-2.00	go	1.017
2	60	5.0	0.00	go	1.467
2	30	3.5	4.00	stay	1.617
2	60	3.5	0.00	stay	1.250
2	60	5.0	4.00	go	0.533
2	30	5.0	4.00	go	1.317
2	30	3.5	4.00	stay	1.800
2	30	3.5	-2.00	go	1.400
2	30	5.0	-2.00	go	1.467
2	30	5.0	4.00	stay	1.417
2	60	3.5	-2.00	None	-1.000
2	60	3.5	-2.00	None	-1.000
2	60	5.0	0.00	None	-1.000
2	30	5.0	-2.00	go	1.767
2	30	3.5	0.00	stay	1.250
2	30	5.0	4.00	go	0.700
2	30	5.0	-2.00	go	1.450
2	60	3.5	4.00	stay	1.133
2	60	5.0	0.00	go	0.700
2	30	3.5	0.00	stay	2.850
2	60	3.5	-2.00	stay	1.133
2	60	3.5	0.00	go	0.617
2	60	5.0	4.00	stay	1.800
2	60	5.0	4.00	stay	3.033
2	60	3.5	4.00	stay	1.217
2	60	5.0	-2.00	go	0.667
2	30	3.5	-2.00	go	1.533
2	60	3.5	4.00	stay	1.117
2	30	3.5	-2.00	go	0.867
2	30	3.5	0.00	stay	1.833
2	60	5.0	-2.00	go	0.600
2	30	5.0	-2.00	go	1.133
2	30	3.5	-2.00	go	1.417
2	30	3.5	0.00	stay	1.867
2	60	3.5	4.00	go	0.533
2	30	3.5	-2.00	go	1.117
2	60	5.0	0.00	go	1.450
2	30	5.0	0.00	go	0.950
2	60	3.5	0.00	stay	1.450
2	30	3.5	4.00	stay	1.367
2	60	3.5	4.00	stay	1.633
2	30	3.5	0.00	go	1.550
2	60	3.5	0.00	stay	1.817
2	30	5.0	0.00	go	0.800
2	60	3.5	4.00	stay	1.017
2	30	5.0	-2.00	go	0.700
2	60	3.5	-2.00	stay	1.350
2	60	3.5	-2.00	go	0.567
2	30	5.0	-2.00	go	0.967
2	30	5.0	4.00	stay	1.683
2	60	3.5	-2.00	stay	0.883
2	60	3.5	0.00	None	-1.000
2	60	3.5	0.00	go	0.733
2	60	5.0	0.00	stay	2.150
2	30	5.0	0.00	go	0.933
2	30	5.0	0.00	stay	2.950
2	30	3.5	4.00	stay	1.533
2	60	5.0	4.00	stay	1.483
2	30	5.0	4.00	stay	2.067
2	60	5.0	4.00	go	0.833
2	60	5.0	4.00	stay	1.750
2	30	5.0	0.00	go	0.900
2	30	5.0	0.00	go	2.267
2	60	5.0	-2.00	go	0.967
2	30	5.0	4.00	stay	1.117
2	30	3.5	4.00	stay	1.433
2	60	5.0	-2.00	go	0.617
2	60	3.5	-2.00	stay	1.283
2	60	3.5	0.00	stay	1.817
2	60	3.5	-2.00	stay	1.200
2	30	5.0	0.00	go	0.717
2	30	3.5	4.00	stay	1.417
2	30	3.5	0.00	stay	1.817
2	60	3.5	-2.00	go	1.967
2	60	5.0	0.00	stay	4.600
2	30	3.5	-2.00	go	1.533
2	30	5.0	0.00	go	1.167
2	60	3.5	0.00	stay	1.433
2	30	3.5	-2.00	go	0.700
2	60	5.0	-2.00	go	1.017
2	60	5.0	-2.00	go	0.750
2	30	3.5	4.00	stay	1.333
