participant_id	d_condition	tau_condition	a_condition	decision	RT	collision
2	60	5.0	[4.0, 0.0]	stay	2.580	False
2	60	3.5	[-2.0, 0.0]	go	2.180	False
2	60	5.0	[0.0, 4.0]	go	1.120	False
2	60	5.0	[-2.0, 0.0]	go	1.240	False
2	30	5.0	[-2.0, -2.0]	go	1.000	False
2	60	5.0	[0.0, -2.0]	go	1.180	False
2	60	3.5	[0.0, -2.0]	stay	1.200	False
2	60	3.5	[4.0, 4.0]	stay	1.080	False
2	60	3.5	[0.0, -2.0]	stay	1.880	False
2	30	3.5	[-2.0, 0.0]	go	1.800	False
2	30	5.0	[0.0, -2.0]	go	1.560	False
2	30	3.5	[4.0, 0.0]	stay	1.280	False
2	60	5.0	[0.0, -2.0]	go	1.820	False
2	30	3.5	[-2.0, 0.0]	go	1.620	False
2	60	3.5	[4.0, 0.0]	stay	1.440	False
2	30	5.0	[4.0, 0.0]	stay	1.320	False
2	60	3.5	[4.0, 0.0]	go	1.520	True
2	60	3.5	[0.0, 0.0]	stay	1.500	False
2	30	3.5	[4.0, 0.0]	stay	1.460	False
2	30	3.5	[4.0, 4.0]	stay	1.280	False
2	30	5.0	[0.0, -2.0]	go	1.120	False
2	30	5.0	[-2.0, 0.0]	go	1.380	False
2	60	3.5	[-2.0, -2.0]	go	1.520	False
2	60	3.5	[4.0, 4.0]	stay	1.040	False
2	30	5.0	[4.0, 4.0]	stay	1.760	False
2	60	5.0	[4.0, 4.0]	stay	1.400	False
2	60	5.0	[-2.0, -2.0]	go	1.120	False
2	60	5.0	[-2.0, 0.0]	stay	1.500	False
2	60	3.5	[-2.0, 0.0]	stay	1.300	False
2	30	5.0	[-2.0, 0.0]	go	1.000	False
2	60	3.5	[0.0, -2.0]	stay	1.580	False
2	60	3.5	[4.0, 4.0]	stay	1.180	False
2	30	5.0	[0.0, -2.0]	go	0.940	False
2	60	3.5	[0.0, 0.0]	stay	1.340	False
2	60	3.5	[0.0, 4.0]	stay	1.180	False
2	60	3.5	[0.0, 4.0]	go	1.200	True
2	60	5.0	[0.0, -2.0]	go	1.160	False
2	30	3.5	[-2.0, -2.0]	go	1.520	False
2	60	5.0	[4.0, 4.0]	stay	1.960	False
2	60	3.5	[4.0, 4.0]	stay	1.760	False
2	60	5.0	[4.0, 4.0]	stay	1.380	False
2	60	5.0	[0.0, 4.0]	stay	1.800	False
2	60	3.5	[4.0, 0.0]	stay	1.140	False
2	30	5.0	[0.0, -2.0]	go	1.040	False
2	60	3.5	[-2.0, 0.0]	stay	2.140	False
2	60	3.5	[4.0, 0.0]	stay	1.100	False
2	30	3.5	[-2.0, -2.0]	go	1.640	False
2	30	3.5	[-2.0, -2.0]	go	1.580	False
2	30	5.0	[4.0, 4.0]	stay	1.160	False
2	30	3.5	[4.0, 0.0]	stay	1.360	False
2	30	5.0	[-2.0, -2.0]	go	1.380	False
2	60	3.5	[4.0, 0.0]	stay	0.840	False
2	60	3.5	[4.0, 0.0]	stay	1.360	False
2	60	3.5	[0.0, 0.0]	stay	1.740	False
2	30	3.5	[4.0, 4.0]	stay	1.100	False
2	30	5.0	[-2.0, 0.0]	go	0.960	False
2	30	5.0	[4.0, 4.0]	stay	1.220	False
2	30	5.0	[-2.0, -2.0]	go	0.980	False
2	30	5.0	[-2.0, -2.0]	go	1.020	False
2	60	5.0	[0.0, 0.0]	go	2.080	False
2	30	3.5	[4.0, 4.0]	stay	1.300	False
2	30	5.0	[4.0, 4.0]	stay	1.300	False
2	60	3.5	[4.0, 4.0]	stay	1.100	False
2	30	3.5	[4.0, 4.0]	stay	1.180	False
2	60	5.0	[4.0, 4.0]	stay	1.000	False
2	30	5.0	[-2.0, 0.0]	go	1.020	False
2	30	3.5	[0.0, 0.0]	stay	1.620	False
2	60	3.5	[0.0, 0.0]	stay	1.720	False
2	30	3.5	[0.0, 0.0]	stay	2.340	False
2	60	5.0	[0.0, -2.0]	go	2.500	False
2	30	3.5	[0.0, -2.0]	go	1.540	False
2	30	5.0	[0.0, 0.0]	go	1.220	False
