participant_id	d_condition	tau_condition	a_condition	decision	RT
1	60	5.0	4.00	go	3.433
1	30	5.0	-2.00	go	1.017
1	60	5.0	0.00	go	0.800
1	60	3.5	0.00	go	0.567
1	30	3.5	4.00	go	2.467
1	60	5.0	0.00	stay	0.850
1	60	5.0	-2.00	go	0.733
1	30	3.5	4.00	go	0.633
1	60	5.0	0.00	go	0.683
1	30	5.0	0.00	go	1.167
1	60	3.5	0.00	go	3.733
1	60	3.5	-2.00	stay	1.767
1	30	5.0	0.00	go	0.600
1	60	3.5	-2.00	go	0.550
1	30	5.0	-2.00	go	0.850
1	60	5.0	0.00	go	0.533
1	60	5.0	-2.00	go	0.633
1	30	3.5	4.00	go	0.500
1	30	5.0	-2.00	go	0.783
1	30	3.5	-2.00	go	0.767
1	30	5.0	0.00	go	0.800
1	30	3.5	-2.00	go	1.033
1	60	3.5	4.00	stay	1.317
1	60	5.0	0.00	go	0.867
1	60	3.5	4.00	go	2.550
1	30	5.0	0.00	go	1.150
1	60	3.5	0.00	go	0.917
1	60	3.5	4.00	go	0.667
1	30	5.0	-2.00	go	1.050
1	30	5.0	0.00	go	1.350
1	30	3.5	-2.00	go	2.583
1	60	5.0	0.00	go	0.967
1	60	5.0	4.00	stay	1.400
1	30	3.5	4.00	go	2.667
1	60	5.0	-2.00	go	1.000
1	30	3.5	0.00	go	4.317
1	30	5.0	0.00	go	1.650
1	30	3.5	4.00	stay	1.283
1	60	3.5	-2.00	go	0.617
1	30	5.0	4.00	stay	1.233
1	60	5.0	4.00	go	0.650
1	60	3.5	-2.00	stay	0.883
1	30	3.5	0.00	stay	2.050
1	60	3.5	0.00	stay	0.950
1	30	3.5	4.00	stay	1.233
1	60	5.0	-2.00	go	0.650
1	60	3.5	4.00	stay	1.100
1	30	3.5	0.00	stay	1.333
1	30	3.5	0.00	stay	3.367
1	60	5.0	-2.00	go	0.850
1	30	3.5	-2.00	stay	1.483
1	30	5.0	4.00	stay	2.333
1	30	5.0	4.00	go	0.800
1	60	3.5	-2.00	stay	1.283
1	30	5.0	0.00	None	-1.000
1	30	3.5	-2.00	stay	0.000
1	60	5.0	0.00	stay	4.117
1	60	5.0	4.00	go	0.817
1	30	3.5	4.00	stay	1.233
1	60	5.0	-2.00	go	0.700
1	30	3.5	0.00	stay	1.033
1	60	3.5	4.00	stay	1.217
1	30	5.0	-2.00	go	0.683
1	30	5.0	-2.00	go	1.000
1	30	5.0	0.00	go	0.883
1	60	3.5	4.00	stay	0.967
1	60	3.5	0.00	stay	2.383
1	30	3.5	0.00	stay	2.917
1	30	5.0	-2.00	go	1.033
1	60	3.5	4.00	stay	2.150
1	60	3.5	-2.00	stay	3.133
1	60	3.5	-2.00	stay	3.333
1	60	5.0	0.00	go	1.333
1	30	5.0	4.00	stay	1.250
1	30	3.5	4.00	stay	1.167
1	30	5.0	4.00	stay	1.367
1	30	5.0	-2.00	go	1.133
1	60	3.5	0.00	stay	2.417
1	60	5.0	4.00	stay	2.150
1	30	3.5	-2.00	go	1.133
1	30	3.5	-2.00	go	1.183
1	60	5.0	-2.00	go	0.900
1	60	3.5	4.00	stay	1.450
1	30	5.0	0.00	go	0.967
1	60	3.5	0.00	stay	2.300
1	30	3.5	0.00	stay	1.167
1	60	5.0	-2.00	go	1.200
1	60	5.0	4.00	stay	1.333
1	60	5.0	0.00	go	1.183
1	30	5.0	4.00	stay	1.767
1	30	3.5	0.00	stay	2.583
1	60	3.5	-2.00	stay	1.217
1	30	3.5	-2.00	go	3.117
1	60	3.5	4.00	stay	2.217
1	60	5.0	-2.00	go	1.967
1	60	3.5	-2.00	stay	1.917
1	30	5.0	4.00	stay	1.867
1	60	5.0	0.00	go	1.183
1	60	3.5	4.00	stay	1.800
1	60	3.5	-2.00	stay	1.917
1	30	5.0	0.00	go	1.433
1	30	5.0	-2.00	go	0.833
1	30	3.5	0.00	stay	2.067
1	30	3.5	4.00	stay	1.500
1	60	3.5	0.00	stay	2.050
1	60	3.5	0.00	stay	2.750
1	60	5.0	4.00	stay	2.233
1	30	5.0	4.00	stay	1.383
1	60	3.5	0.00	stay	0.933
1	30	3.5	-2.00	stay	1.200
1	30	3.5	-2.00	go	1.183
1	30	5.0	4.00	stay	2.033
1	60	5.0	-2.00	go	1.700
1	30	5.0	4.00	stay	1.683
1	60	5.0	4.00	stay	2.350
1	30	3.5	4.00	stay	1.800
1	60	5.0	4.00	stay	2.367
1	30	3.5	0.00	stay	2.933
1	60	5.0	4.00	stay	2.400
1	30	5.0	-2.00	go	0.967
